id,raison,adresse,tel,email,interloc,date_debut,date_fin,tiers,tpx,activite,formule_soins,territoire,plafond,complement,consultation_taux,consultation_frais,consultation_limite,consultation_jour,consultation_an,consultation_deux_an,pharmacie_taux,pharmacie_frais,pharmacie_limite,pharmacie_jour,pharmacie_an,pharmacie_deux_an,analyse_taux,analyse_frais,analyse_limite,analyse_jour,analyse_an,analyse_deux_an,acte_taux,acte_frais,acte_limite,acte_jour,acte_an,acte_deux_an,principal_chambre_taux,principal_chambre_frais,principal_chambre_limite,principal_chambre_jour,principal_chambre_an,principal_chambre_deux_an,principal_frais_taux,principal_frais_limite,principal_frais_jour,principal_frais_an,principal_frais_deux_an,prive_chambre_taux,prive_chambre_frais,prive_chambre_limite,prive_chambre_jour,prive_chambre_an,prive_chambre_deux_an,prive_frais_taux,prive_frais_limite,prive_frais_jour,prive_frais_an,prive_frais_deux_an,public_chambre_taux,public_chambre_frais,public_chambre_limite,public_chambre_jour,public_chambre_an,public_chambre_deux_an,public_frais_taux,public_frais_frais,public_frais_limite,public_frais_jour,public_frais_an,public_frais_deux_an,soins_taux,soins_frais,soins_limite,soins_jour,soins_an,soins_deux_an,verre_taux,verre_frais,verre_limite,verre_jour,verre_an,verre_deux_an,monture_taux,monture_frais,monture_limite,monture_jour,monture_an,monture_deux_an,accouchement_taux,accouchement_frais,accouchement_limite,accouchement_jour,accouchement_an,accouchement_deux_an,education_taux,education_frais,education_limite,education_jour,education_an,education_deux_an,sejour_taux,sejour_frais,sejour_limite,sejour_jour,sejour_an,sejour_deux_an,nb_collab,nb_conjoint,nb_enfant_p,nb_enfant_g,fin
1002,ddfd,dfdfd,dfd,ddfd,Faye,2017-03-26,2017-03-17,tiers test,0,acti test,fs test,0,0,,0,0,wdwd,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,qsq,qsq,q,qsq,Faye,2017-03-26,2017-03-17,tiers test,0,acti test,fs test,0,0,,0,0,qdqdqd,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,dssd,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,dssd,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,dssddfdfd,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,dssddddfdfd,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,aedrrrfdfd,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,okueee,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,okueee123,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,okueee48483,Dakar,7776732267,Ndiayegmail,Faye,2017-03-26,2017-03-24,tiers test,0,acti test,fs test,0,0,,0,0,dss,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
